text,priority
I have a general question about the exchange process,LOW
Could you verify if my email address is spelled correctly?,LOW
Checking if my order ORD-3011 was confirmed,LOW
What are the accepted formats for return proof?,LOW
Just wanted to know if you offer student discounts,LOW
Can I schedule the pickup for next week instead?,LOW
How do I view my current active orders?,LOW
Inquiring about gift card redemption on the website,LOW
Just checking the expected arrival date for my sneakers,LOW
Is there any fee for doorstep size exchanges?,LOW
Can you confirm the item code for the black polo?,LOW
I would like to know if weekend delivery is available,LOW
Just checking if my return was marked as collected,LOW
What is the procedure for partial order return?,LOW
How can I track my return shipment online?,LOW
Checking to see if the refund transaction is complete,LOW
I want to know if the jacket is machine washable,LOW
Could you tell me the courier tracking URL?,LOW
Just asking if my review was posted on the product page,LOW
Are exchanges free of charge on your platform?,LOW
I would like to know the status of my ticket FR-1029,LOW
Can you check if my order was packed properly?,LOW
Just inquiring about your annual membership benefits,LOW
How long do I have to initiate a return after delivery?,LOW
Can I choose a specific delivery time slot?,LOW
Just checking if the warehouse received my return,LOW
What is the policy for returning items bought on discount?,LOW
I have a routine query about order tracking,LOW
Could you clarify the steps to place an exchange?,LOW
Just wondering if the navy blazer will be restocked,LOW
How do I change my default payment method?,LOW
Checking the current status of my return request,LOW
Can I return just one item from a combo pack?,LOW
Is there any confirmation SMS sent upon return pickup?,LOW
I would like to know if my cancellation request was received,LOW
Just checking when the courier will pick up the parcel,LOW
What is the contact number for local delivery dispatch?,LOW
Can you confirm the return window for clothing items?,LOW
I just have a quick question about payment methods,LOW
Checking if order ORD-5521 is still being prepared,LOW
How do I reach customer care during business hours?,LOW
Just following up routinely on my inquiry about returns,LOW
I have been waiting several days for my refund,MEDIUM
My refund is delayed and I have contacted support twice,MEDIUM
My refund has been delayed for several days,MEDIUM
Package is overdue by 3 days and tracking is not updating,MEDIUM
I was told my refund would take 48 hours but it has been 5 days,MEDIUM
My return pickup was supposed to happen yesterday but no one came,MEDIUM
Tracking has been stuck on in transit for four days now,MEDIUM
Why has my delivery been delayed past the estimated date?,MEDIUM
Still waiting for my return to be inspected after 4 days,MEDIUM
The delivery date was rescheduled without informing me,MEDIUM
I sent an inquiry two days ago and haven't received a response,MEDIUM
My order is delayed and I need an updated delivery timeline,MEDIUM
"Return courier missed the appointment, please reschedule",MEDIUM
Refund has been in processing status for almost a week,MEDIUM
My package seems to be held up at the local sorting hub,MEDIUM
Second time checking on the status of my delayed delivery,MEDIUM
Please check why my refund has not been disbursed yet,MEDIUM
The driver marked customer unavailable but I was at home,MEDIUM
It has been five days since my return was collected,MEDIUM
Order delivery is running late by several days,MEDIUM
I need an update on why my replacement hasn't shipped,MEDIUM
Tracking says delivery attempted but no call was made,MEDIUM
"Waiting for my refund since Monday, please check",MEDIUM
Delivery has been delayed twice already this week,MEDIUM
Why is my parcel sitting in the warehouse for three days?,MEDIUM
Following up on my open ticket from three days ago,MEDIUM
Still waiting for the refund amount to reflect in my bank,MEDIUM
Return pickup was delayed and nobody informed me,MEDIUM
My shipment is past the promised delivery date,MEDIUM
Could you please expedite my delayed order if possible?,MEDIUM
Why is there a delay of four days on my replacement jacket?,MEDIUM
I have not received any tracking updates for 72 hours,MEDIUM
"Return was picked up on Friday, where is my refund update?",MEDIUM
My package has been delayed and I need it for an upcoming trip,MEDIUM
Can someone look into why my delivery was postponed again?,MEDIUM
It has been almost a week since I requested a return pickup,MEDIUM
Checking again as my refund has not arrived within the SLA,MEDIUM
The delivery partner hasn't dispatched my parcel for 4 days,MEDIUM
"Refund is taking longer than usual, please investigate",MEDIUM
My order has been out for delivery for two consecutive days,MEDIUM
I have sent two emails regarding my return with no reply,MEDIUM
Why is my order still stuck at the central warehouse?,MEDIUM
"Return pickup was canceled without my consent, please rebook",MEDIUM
Delivery is five days overdue and courier is unresponsive,MEDIUM
"Still waiting on my refund for order FR-8812, please update",MEDIUM
The replacement pair has not been dispatched after 4 days,MEDIUM
"I was promised delivery by yesterday, why is it delayed?",MEDIUM
Following up for the second time on my missing tracking number,MEDIUM
Bank transfer refund has not credited after 6 business days,MEDIUM
Why is my return request still in review after three days?,MEDIUM
Package delayed in transit between hubs for several days,MEDIUM
I have been waiting for someone to respond to my complaint,MEDIUM
My refund is taking significantly longer than stated,MEDIUM
Courier executive rescheduled the pickup without calling me,MEDIUM
Where is my package? It was supposed to arrive four days ago,MEDIUM
Following up on case FR-3310 as no action was taken,MEDIUM
"Refund is overdue by four days, please look into this",MEDIUM
Delivery date has been pushed back three times now,MEDIUM
I need to know why my order dispatch is taking so long,MEDIUM
Can someone explain the delay on my return reimbursement?,MEDIUM
The tracking information has been frozen since Tuesday,MEDIUM
Waiting for support to confirm my cancellation request,MEDIUM
My delivery was delayed without any explanation or new SLA,MEDIUM
Why has my refund status not moved past processing for 5 days?,MEDIUM
"Return parcel was delivered to warehouse three days ago, no update",MEDIUM
I need an update on why my order has not left the facility,MEDIUM
Third day following up on my delayed linen trousers,MEDIUM
The courier partner failed to collect my return today,MEDIUM
Still waiting for an update on my open inquiry ticket,MEDIUM
"Please expedite the refund processing, it is already delayed",MEDIUM
Why is my package delayed at the regional facility for 4 days?,MEDIUM
"I was told I would get a call back yesterday, still waiting",MEDIUM
Delivery partner keeps postponing my shipment delivery,MEDIUM
My return was accepted days ago but refund has not started,MEDIUM
Waiting for an answer regarding my delayed size exchange,MEDIUM
Why is the courier not updating the tracking for 3 days?,MEDIUM
My refund has been pending approval for almost a week,MEDIUM
Please check the delay on order ORD-9921 shipment,MEDIUM
The courier did not attempt delivery despite claiming so,MEDIUM
Return pickup delayed for the second time this week,MEDIUM
I have been waiting four days for a simple status update,MEDIUM
Why is my replacement order not shipped yet after 5 days?,MEDIUM
Tracking status shows delayed due to operational issues,MEDIUM
Could you check why my return refund is delayed past timeline?,MEDIUM
Second follow up regarding my missing order invoice,MEDIUM
Package is three days late and I have received no notifications,MEDIUM
"Refund status is still pending, please check with accounts",MEDIUM
Why is the courier taking so long to deliver my parcel?,MEDIUM
I need an answer on why my return collection was missed,MEDIUM
"Delivery is past due date, please provide updated ETA",MEDIUM
Checking status again as my support ticket was not answered,MEDIUM
Return parcel has not been processed despite reaching 4 days ago,MEDIUM
Why is my delivery date slipping every single day?,MEDIUM
I was promised my refund by today morning but nothing came,MEDIUM
Following up on the delay of my running shoes order,MEDIUM
The tracking link is not showing any progress for days,MEDIUM
My exchange request has been sitting in queue for 4 days,MEDIUM
Please look into the repeated delay of my return pickup,MEDIUM
"Waiting for my refund of order FR-4421, delayed by 5 days",MEDIUM
Can someone check why my delivery is stuck at the hub?,MEDIUM
I urgently need my refund because the money was deducted from my account,HIGH
My account was charged twice and I need the money returned immediately,HIGH
"I urgently need my money back, this is causing a serious problem",HIGH
I have contacted support multiple times and nobody has resolved my refund,HIGH
Nobody has resolved my issue despite contacting support four times,HIGH
"Money was deducted from my account but order was never placed, urgent!",HIGH
I demand an immediate refund for this defective and broken item,HIGH
"You charged my credit card twice for Rs 4999, fix this immediately",HIGH
"This is an emergency, I need the funds credited back right away",HIGH
"Over three weeks and my refund is still missing, this is unacceptable",HIGH
I will file a complaint with the consumer court if not resolved today,HIGH
"Deducted 3000 rupees from my bank and your app crashed, refund now",HIGH
"Cancel this order immediately before it is dispatched, urgent!",HIGH
Multiple unauthorized charges on my card from your website,HIGH
I have chased customer care for two weeks with zero resolution,HIGH
"The shoes arrived shattered and torn, I need an immediate replacement",HIGH
Critical issue: payment went through but no confirmation received,HIGH
"Extremely urgent, someone placed an order from my account without permission",HIGH
"Double payment debited from my UPI, reverse the duplicate transaction now",HIGH
I have reached out five times already and nobody is fixing my problem,HIGH
My refund is three weeks overdue and causing severe financial difficulty,HIGH
"Unacceptable delay, resolve my complaint immediately or refund my money",HIGH
High priority: money deducted from bank account and cart emptied,HIGH
"You took my money and refuse to deliver, I am contacting legal authorities",HIGH
Immediate escalation required: customer support has failed to resolve this,HIGH
"I need my money back today, I cannot wait any longer",HIGH
"Payment debited twice and support is completely silent, resolve this now",HIGH
I have been contacting you every single day with no resolution,HIGH
Damaged goods delivered and I need an immediate return and full refund,HIGH
"Urgent action required on order ORD-9942, do not dispatch",HIGH
I am facing severe financial hardship because you are holding my funds,HIGH
"Four times I have followed up and every time I get false promises, resolve now",HIGH
"Double deduction of Rs 3899 from my HDFC card, reverse immediately",HIGH
"The clothes arrived covered in mold and torn, unacceptable, refund now",HIGH
"My money is missing from my bank and no order ID was created, urgent!",HIGH
"I have contacted support multiple times and received zero help, escalate now",HIGH
"Cancel my order immediately, I was charged fraudulently",HIGH
"You are holding 5000 rupees of my money for a month, this is fraud",HIGH
Immediate resolution demanded: defective product sent and refund refused,HIGH
"I have been waiting for over 20 days, this is completely outrageous",HIGH
"Critical: duplicate payment taken for order ORD-8812, refund immediately",HIGH
Stop giving automated responses and refund my money right now,HIGH
This is urgent: courier stole my package and marked it delivered,HIGH
I have contacted customer service six times and nobody has resolved this,HIGH
"Bank debited twice for order checkout, immediate refund required",HIGH
"Severe issue: delivered package was empty, escalate this immediately",HIGH
I want to speak to a senior manager immediately about my stolen refund,HIGH
"You charged my card without generating an order, refund right now",HIGH
I am taking legal action against FitResQ if my money is not returned today,HIGH
Extremely urgent cancellation: wrong address and duplicate order placed,HIGH
My account was debited multiple times during a payment gateway failure,HIGH
Nobody has resolved my refund after two weeks of constant follow ups,HIGH
"This is a serious matter, resolve my payment failure immediately",HIGH
"Urgent: I received an open box with missing items, immediate refund needed",HIGH
I have reached out repeatedly regarding my missing refund with no luck,HIGH
"Charged Rs 6000 twice on my credit card, reverse the charge right now",HIGH
Immediate intervention required: customer support has abandoned my ticket,HIGH
"I need my refund credited back immediately, this is urgent",HIGH
"You took my money and failed the order, refund my bank immediately",HIGH
"I have been chasing this unresolved issue for three weeks, escalate now",HIGH
"Severe delay of one month on my refund, this is completely fraudulent",HIGH
Immediate replacement required: dress arrived ripped and unusable,HIGH
"Money deducted from UPI but app shows payment failed, urgent resolution",HIGH
I have contacted support four times and my refund is still pending,HIGH
"This is causing immense distress, refund my money immediately",HIGH
Critical: cancel my order right now before the warehouse dispatches it,HIGH
"Duplicate payment charged on my debit card, reverse it immediately",HIGH
I have complained multiple times and nobody has resolved my issue,HIGH
Urgent: return pickup failed 4 times and my return window is expiring,HIGH
"You have held my money for over 25 days, refund it right now",HIGH
Immediate refund required for broken merchandise in order ORD-7712,HIGH
My bank confirmed the transfer but your system took money and failed,HIGH
"I have contacted your team five times with zero resolution, escalate immediately",HIGH
Urgent financial matter: duplicate transaction on order FR-1092,HIGH
I will file a police complaint for fraudulent payment deduction today,HIGH
Extreme urgency: cancel my order and do not ship the package,HIGH
"You charged me twice and support is not responding, fix this right now",HIGH
Multiple follow ups made over two weeks with absolutely no resolution,HIGH
"Urgent: refund failed and my money is locked, need immediate assistance",HIGH
"I was charged 4000 rupees without an order confirmation, refund now",HIGH
This is unacceptable: customer care closed my ticket without resolving,HIGH
Immediate action needed: wrong high-value item delivered and pickup refused,HIGH
I have contacted support multiple times and nobody is solving my problem,HIGH
"Bank account debited twice, need immediate reversal of duplicate charge",HIGH
"Severely delayed refund of Rs 5000, causing serious financial difficulty",HIGH
Urgent: resolve my failed refund payment before the weekend,HIGH
I have reached out six times regarding my missing order with no answer,HIGH
Immediate escalation: broken items delivered and customer support is silent,HIGH
"Deducted funds from my account with no order created, refund immediately",HIGH
I demand an immediate callback from a manager regarding my withheld money,HIGH
Four repeated contacts to support and still no resolution on my refund,HIGH
"Critical: duplicate debit on my card, refund the extra charge right now",HIGH
This is an urgent complaint: package was delivered open and items stolen,HIGH
I have contacted customer support multiple times and nobody has helped me,HIGH
"Refund overdue by four weeks, I am reporting this to consumer forum",HIGH
"Immediate cancellation requested: order placed accidentally, stop dispatch",HIGH
"Money taken from my bank and order failed, refund immediately without delay",HIGH
"I have followed up repeatedly with no resolution, escalate this complaint now",HIGH
"Urgent: double charged for my order, reverse the duplicate deduction today",HIGH
"Extremely urgent: solve my refund issue right now, this is unacceptable",HIGH
