text,intent
My bank says the refund was cancelled by merchant.,REFUND_FAILED
Refund transaction failed with an error code.,REFUND_FAILED
The refund failed to deposit into my savings account.,REFUND_FAILED
Why did FitResQ reject my refund claim?,REFUND_FAILED
"Refund payment failed, need to provide alternate account.",REFUND_FAILED
Received an alert that my refund could not be completed.,REFUND_FAILED
Refund status marked failed on dashboard.,REFUND_FAILED
The automated refund was unsuccessful.,REFUND_FAILED
The bank returned the refund amount back to sender.,REFUND_FAILED
Refund failed because account number was incorrect.,REFUND_FAILED
Why has my refund transaction been rejected?,REFUND_FAILED
Payout failed on the bank side.,REFUND_FAILED
My refund transfer encountered an error and failed.,REFUND_FAILED
System error caused my refund to fail.,REFUND_FAILED
The refund payment could not be processed by gateway.,REFUND_FAILED
Refund failed notification received this morning.,REFUND_FAILED
My refund attempt was declined.,REFUND_FAILED
Why did the automated refund transfer fail?,REFUND_FAILED
Refund bounced due to IFSC code issue.,REFUND_FAILED
Bank says refund transfer was rejected.,REFUND_FAILED
The refund transaction did not go through.,REFUND_FAILED
"My refund failed, what alternate account can I give?",REFUND_FAILED
Refund could not be settled to my card.,REFUND_FAILED
The refund was rejected during verification.,REFUND_FAILED
Refund failed due to beneficiary bank rejection.,REFUND_FAILED
Why was the refund transaction aborted?,REFUND_FAILED
The system flagged my refund as failed.,REFUND_FAILED
Refund rejected by payment processor.,REFUND_FAILED
My refund payout failed today.,REFUND_FAILED
Bank switch reported failure on incoming refund.,REFUND_FAILED
Why is my refund showing failed status?,REFUND_FAILED
The refund transfer failed to settle.,REFUND_FAILED
I want to return my order,RETURN_REQUEST
Please arrange a return pickup for my shoes.,RETURN_REQUEST
The trousers do not fit me well and I want to return them.,RETURN_REQUEST
I would like to initiate a return for my delivered item.,RETURN_REQUEST
How can I send back this oversized cardigan?,RETURN_REQUEST
Please schedule a reverse pickup from my address.,RETURN_REQUEST
I want to return this dress because the color looks different.,RETURN_REQUEST
How do I return items from my recent delivery?,RETURN_REQUEST
Please book a courier to collect the return parcel.,RETURN_REQUEST
"I want to return these sneakers, they are too tight.",RETURN_REQUEST
Initiate return for the shirt I received yesterday.,RETURN_REQUEST
"I need to return this blazer, size is too small.",RETURN_REQUEST
Can you arrange a return for my order?,RETURN_REQUEST
I would like to return the clothing items.,RETURN_REQUEST
Please generate a return label and schedule pickup.,RETURN_REQUEST
I want to send back the t-shirt I ordered.,RETURN_REQUEST
How do I request a return pickup?,RETURN_REQUEST
Schedule a doorstep pickup for my return.,RETURN_REQUEST
I want to return my delivered parcel.,RETURN_REQUEST
The shoes are uncomfortable and I want to return them.,RETURN_REQUEST
Please help me book a return for this order.,RETURN_REQUEST
"I need to return these pants, size 32 is too big.",RETURN_REQUEST
Can I return the cardigan within the 15-day window?,RETURN_REQUEST
I want to send this item back to the warehouse.,RETURN_REQUEST
Please initiate a return pickup for my order.,RETURN_REQUEST
I would like to return the jacket I bought.,RETURN_REQUEST
How do I initiate a return on FitResQ?,RETURN_REQUEST
Arrange pickup for my returned merchandise.,RETURN_REQUEST
I want to return the white sneakers.,RETURN_REQUEST
Please send a courier to collect the returned clothes.,RETURN_REQUEST
"I need to return this purchase, sizing is off.",RETURN_REQUEST
Can someone pick up my return parcel tomorrow?,RETURN_REQUEST
"I want to return this shirt, tags are still attached.",RETURN_REQUEST
Please create a return request for my order.,RETURN_REQUEST
I would like to send back the linen trousers.,RETURN_REQUEST
How can I return an item I received two days ago?,RETURN_REQUEST
Please schedule return pickup from my residence.,RETURN_REQUEST
I want to return this item under the return policy.,RETURN_REQUEST
Help me return the defective blazer.,RETURN_REQUEST
I need to return my clothing items.,RETURN_REQUEST
Book a return courier for my order.,RETURN_REQUEST
I want to return the handbag I received.,RETURN_REQUEST
Please start the return process for my shoes.,RETURN_REQUEST
I want to return the cotton crewneck shirt.,RETURN_REQUEST
Can I return this apparel item today?,RETURN_REQUEST
Please arrange reverse logistics for my return.,RETURN_REQUEST
I want to return this product for an exchange or return.,RETURN_REQUEST
How do I send back an unworn garment?,RETURN_REQUEST
Please initiate a return for my delivery.,RETURN_REQUEST
I want to return my order for a different size.,RETURN_REQUEST
I received the wrong shirt,WRONG_ITEM
You sent me a blue t-shirt instead of the black one I ordered.,WRONG_ITEM
The size delivered is XL but I ordered M.,WRONG_ITEM
I got women's shoes instead of men's sneakers.,WRONG_ITEM
The package contains a completely different product.,WRONG_ITEM
Received striped trousers instead of plain beige.,WRONG_ITEM
Wrong color delivered for the cardigan.,WRONG_ITEM
You sent me the wrong sku in my parcel.,WRONG_ITEM
The box had a dress inside instead of the blazer I ordered.,WRONG_ITEM
"Received wrong item in order, please replace.",WRONG_ITEM
I ordered size 40 but you shipped size 44.,WRONG_ITEM
Wrong product was delivered to my address.,WRONG_ITEM
The item delivered does not match my invoice.,WRONG_ITEM
You sent the wrong design and color.,WRONG_ITEM
I received a denim jacket instead of linen trousers.,WRONG_ITEM
Wrong merchandise delivered in the shipment.,WRONG_ITEM
The product inside the package is completely incorrect.,WRONG_ITEM
I received size small instead of large.,WRONG_ITEM
You delivered a totally different article.,WRONG_ITEM
Incorrect item sent in my package.,WRONG_ITEM
The delivered shirt has a different pattern than ordered.,WRONG_ITEM
I ordered black sneakers but received white ones.,WRONG_ITEM
You sent the wrong brand and style.,WRONG_ITEM
"Wrong item delivered, please send the right one.",WRONG_ITEM
The package contained someone else's order.,WRONG_ITEM
I ordered a wool sweater but got a cotton tee.,WRONG_ITEM
Incorrect shoes delivered in my parcel.,WRONG_ITEM
The item I unboxed is not what I paid for.,WRONG_ITEM
Wrong clothing article inside the bag.,WRONG_ITEM
You delivered a brown handbag instead of tan leather.,WRONG_ITEM
I received a crewneck instead of a hoodie.,WRONG_ITEM
Incorrect size and color sent by fulfillment team.,WRONG_ITEM
The product shipped is wrong.,WRONG_ITEM
I got a different SKU than what is listed on my receipt.,WRONG_ITEM
Delivered item does not match description.,WRONG_ITEM
You sent me a polo shirt instead of formal shirt.,WRONG_ITEM
The delivery contains the wrong model.,WRONG_ITEM
I received trousers in grey instead of beige.,WRONG_ITEM
Wrong product arrived today.,WRONG_ITEM
The item in the box does not match my order.,WRONG_ITEM
You shipped the wrong footwear.,WRONG_ITEM
Wrong apparel item delivered.,WRONG_ITEM
I received a scarf instead of a cardigan.,WRONG_ITEM
Incorrect item delivered to my doorstep.,WRONG_ITEM
You sent me the wrong color variant.,WRONG_ITEM
"Received wrong product, please correct this.",WRONG_ITEM
The order delivered is completely wrong.,WRONG_ITEM
I got an XL tee but ordered size S.,WRONG_ITEM
Wrong item dispatched by warehouse.,WRONG_ITEM
Delivered article is totally incorrect.,WRONG_ITEM
How do I request a refund for an item?,REFUND_REQUEST
Can I submit a refund claim for my delivered package?,REFUND_REQUEST
I want to apply for a refund on my purchase,REFUND_REQUEST
Where can I initiate a refund in the app?,REFUND_REQUEST
What is the procedure to ask for a refund?,REFUND_REQUEST
I would like to get a refund for my order,REFUND_REQUEST
Please help me request a refund for the dress I bought,REFUND_REQUEST
How can customers file for a refund?,REFUND_REQUEST
I need to open a refund request,REFUND_REQUEST
What steps do I follow to claim my money back?,REFUND_REQUEST
Can I get my purchase refunded?,REFUND_REQUEST
I want to request a full refund,REFUND_REQUEST
How do I ask for my money back after returning an item?,REFUND_REQUEST
Is there a form to submit a refund request?,REFUND_REQUEST
I wish to claim a refund for my order,REFUND_REQUEST
Where do I go on the website to request a refund?,REFUND_REQUEST
How does a customer apply for a refund on FitResQ?,REFUND_REQUEST
I want to file a claim to get my payment refunded,REFUND_REQUEST
Could you guide me on how to request a refund?,REFUND_REQUEST
I want to submit a formal refund request,REFUND_REQUEST
How do I initiate a refund payout?,REFUND_REQUEST
What is the process to claim a refund on an item?,REFUND_REQUEST
How to submit a refund request on this portal?,REFUND_REQUEST
I am looking to claim a refund for my returned package,REFUND_REQUEST
Where is the refund request option located?,REFUND_REQUEST
Can you help me submit a refund claim?,REFUND_REQUEST
I need to ask for a refund on my recent purchase,REFUND_REQUEST
How do I start a refund claim for defective apparel?,REFUND_REQUEST
I want to claim my money back for this purchase,REFUND_REQUEST
Please explain how I can request a refund,REFUND_REQUEST
I would like to register a refund request,REFUND_REQUEST
How do I get my money back from an order?,REFUND_REQUEST
Can I raise a refund claim through support?,REFUND_REQUEST
I want to apply for a full reimbursement,REFUND_REQUEST
What do I click to submit a refund claim?,REFUND_REQUEST
How do I request a payout for my returned shoes?,REFUND_REQUEST
I need to request a refund for an order I received,REFUND_REQUEST
Tell me how to file a refund claim,REFUND_REQUEST
Where do I submit my refund application?,REFUND_REQUEST
Can I request a refund through customer care?,REFUND_REQUEST
I want to initiate a refund for my apparel,REFUND_REQUEST
How can I claim my refund online?,REFUND_REQUEST
I would like to file for a refund,REFUND_REQUEST
What is the way to request a refund on FitResQ?,REFUND_REQUEST
Help me initiate a refund request for my parcel,REFUND_REQUEST
I am trying to request a refund for my order,REFUND_REQUEST
Where do I raise a refund request?,REFUND_REQUEST
How do I go about getting a refund?,REFUND_REQUEST
I want to request my payment back,REFUND_REQUEST
Can you guide me through opening a refund request?,REFUND_REQUEST
Track my order,ORDER_STATUS
Where is my shipment currently located?,ORDER_STATUS
Has my package been dispatched yet?,ORDER_STATUS
Can you give me a delivery update on my order?,ORDER_STATUS
What is the status of my shipment?,ORDER_STATUS
When will my parcel be delivered?,ORDER_STATUS
Is my order out for delivery today?,ORDER_STATUS
I want to check the progress of my delivery,ORDER_STATUS
Has my parcel left the warehouse?,ORDER_STATUS
Check tracking on my package,ORDER_STATUS
Track order ORD-4182,ORDER_STATUS
Track my order ORD-9128 please,ORDER_STATUS
Where is order ORD-7182 right now?,ORDER_STATUS
Status of order ORD-3819,ORDER_STATUS
Track shipment for order ORD-5512,ORDER_STATUS
Delivery update for order ORD-8812,ORDER_STATUS
Could you check where my order is right now?,ORDER_STATUS
Is my shipment on the way?,ORDER_STATUS
When can I expect my clothes to arrive?,ORDER_STATUS
Current delivery progress for my parcel,ORDER_STATUS
Track shipment progress for my purchase,ORDER_STATUS
What stage is my order at right now?,ORDER_STATUS
Has the courier picked up my package?,ORDER_STATUS
Can I get a tracking update on my delivery?,ORDER_STATUS
I want to know the delivery status of my items,ORDER_STATUS
Is my parcel delayed in transit?,ORDER_STATUS
Where is my order being shipped from?,ORDER_STATUS
How far away is my package?,ORDER_STATUS
Please check the delivery status of my order,ORDER_STATUS
Has my purchase shipped out?,ORDER_STATUS
Has my order been shipped yet?,ORDER_STATUS
Has the order shipped yet?,ORDER_STATUS
Has my shipment been dispatched yet?,ORDER_STATUS
I need a status update on my pending shipment,ORDER_STATUS
When is my parcel estimated to reach me?,ORDER_STATUS
Track the delivery of my clothing package,ORDER_STATUS
Is my package still in transit?,ORDER_STATUS
Check the tracking status of my items,ORDER_STATUS
What is the expected delivery date for my parcel?,ORDER_STATUS
Can you track my package for me?,ORDER_STATUS
Please give me an update on my shipment,ORDER_STATUS
Has the order been dispatched from fulfillment center?,ORDER_STATUS
Where is my delivery right now?,ORDER_STATUS
I want to see the tracking details of my order,ORDER_STATUS
Can you check if my order has been sent out?,ORDER_STATUS
Is my shipment arriving today or tomorrow?,ORDER_STATUS
Track my delivery progress please,ORDER_STATUS
What is happening with my order delivery?,ORDER_STATUS
Check on my parcel location,ORDER_STATUS
Has my delivery been scheduled?,ORDER_STATUS
I need to track my recent purchase,ORDER_STATUS
Please check if my order is out for delivery,ORDER_STATUS
Where is my parcel at this moment?,ORDER_STATUS
Can you look up the shipping status of my order?,ORDER_STATUS
Tracking information for my order please,ORDER_STATUS
Has the package left the sorting hub?,ORDER_STATUS
Check my delivery timeline,ORDER_STATUS
Is my order en route to my city?,ORDER_STATUS
Please tell me the delivery state of my order,ORDER_STATUS
I want to speak with a supervisor regarding my problem,ESCALATION_REQUEST
Please connect me with a senior manager to resolve this,ESCALATION_REQUEST
This complaint needs to be forwarded to higher management,ESCALATION_REQUEST
I am demanding supervisory escalation for my ticket,ESCALATION_REQUEST
Transfer this inquiry to a senior support specialist,ESCALATION_REQUEST
I request escalation of this unresolved matter immediately,ESCALATION_REQUEST
Raise this issue to a higher tier of customer support,ESCALATION_REQUEST
My ticket has been ignored and requires senior review,ESCALATION_REQUEST
Please forward this dispute to an escalation manager,ESCALATION_REQUEST
